time,value
2026-08-24T05:51:14.043Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:15.044Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:16.046Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:17.047Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:18.049Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:19.051Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:20.053Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:21.054Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:22.057Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:23.058Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:24.06Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:25.062Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:26.063Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:27.065Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:28.067Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:29.068Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:30.07Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:31.071Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:32.074Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:33.075Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:34.077Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:35.078Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:36.079Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:37.082Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:38.083Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:39.085Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:40.087Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:41.089Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:42.09Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:43.092Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:51:44.094Z,"{""lat"":-37.78054521988222,""lon"":145.16444705304713}"
2026-08-24T05:51:45.095Z,"{""lat"":-37.780524775371674,""lon"":145.1644942314346}"
2026-08-24T05:51:46.097Z,"{""lat"":-37.78053123760205,""lon"":145.16448038618324}"
2026-08-24T05:51:47.098Z,"{""lat"":-37.78052646300584,""lon"":145.16449808709564}"
2026-08-24T05:51:48.1Z,"{""lat"":-37.78047880594177,""lon"":145.1646139140679}"
2026-08-24T05:51:49.102Z,"{""lat"":-37.780513270148404,""lon"":145.16453912769984}"
2026-08-24T05:51:50.104Z,"{""lat"":-37.7805132041151,""lon"":145.16451704016959}"
2026-08-24T05:51:51.106Z,"{""lat"":-37.78051397635135,""lon"":145.1645180921091}"
